0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000269,537.6,0,0,0,0.000269,537.6,7.70741e-13,4.31097e-10,1.9335e-07,0.000269,537.6,2.97635e-13,2.49415e-10,1.28977e-07
0.000538,1075.2,0,0,3.88434e-07,0.000538,1075.2,9.8186e-12,3.77933e-09,1.15769e-06,0.000538,1075.2,5.11123e-12,2.79357e-09,1.0302e-06
0.000806,1612.8,0,1.74576e-09,1.93868e-06,0.000806,1612.8,6.36022e-11,1.7178e-08,3.65541e-06,0.000806,1612.8,4.05386e-11,1.43455e-08,3.46697e-06
0.001075,2150.4,6.30684e-12,1.18346e-08,5.41437e-06,0.001075,2150.4,2.82327e-10,5.50297e-08,8.43396e-06,0.001075,2150.4,2.05117e-10,4.8934e-08,8.18756e-06
0.001344,2688,6.15448e-11,4.43578e-08,1.1564e-05,0.001344,2688,9.74262e-10,1.41328e-07,1.62207e-05,0.001344,2688,7.70683e-10,1.3024e-07,1.59201e-05
0.001613,3225.6,3.18555e-10,1.23354e-07,2.11154e-05,0.001613,3225.6,2.80409e-09,3.11709e-07,2.77178e-05,0.001613,3225.6,2.34818e-09,2.9366e-07,2.73676e-05
0.001881,3763.2,1.17525e-09,2.8501e-07,3.47713e-05,0.001881,3763.2,7.03658e-09,6.1518e-07,4.35982e-05,0.001881,3763.2,6.12993e-09,5.88043e-07,4.32035e-05
0.00215,4300.8,3.48493e-09,5.79554e-07,5.32039e-05,0.00215,4300.8,1.58635e-08,1.11549e-06,6.45006e-05,0.00215,4300.8,1.42162e-08,1.07707e-06,6.40672e-05
0.002419,4838.4,8.85328e-09,1.07279e-06,7.70507e-05,0.002419,4838.4,3.28174e-08,1.89208e-06,9.10264e-05,0.002419,4838.4,3.00301e-08,1.84021e-06,9.05603e-05
0.002688,5376,2.00297e-08,1.84721e-06,0.000106911,0.002688,5376,6.32725e-08,3.04065e-06,0.000123735,0.002688,5376,5.88206e-08,2.97328e-06,0.000123243
